name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Johnson,WHU,DEF,4.5,Available,860,29,1,1.7,0.1
Kehrer,WHU,DEF,4.5,Available,2229,67,4,2.5,0.2
Mubama,WHU,FWD,4.5,Available,0,0,0,0.0,1.2
L.Paquetá,WHU,MID,6.0,Available,2154,98,8,3.5,1.6
Rice,WHU,MID,5.5,Available,3272,116,12,3.1,5.4
Scamacca,WHU,FWD,6.0,Available,921,41,7,2.6,0.3
Souček,WHU,MID,5.0,Available,2811,100,6,2.8,1.0
Vlašić,WHU,MID,4.5,Available,0,0,0,0.0,0.7
Zouma,WHU,DEF,4.5,Available,1988,88,8,3.5,0.7
Ogbonna,WHU,DEF,4.5,Available,1234,44,4,2.8,0.1
Aït-Nouri,WOL,DEF,4.5,Available,1067,41,0,2.0,0.3
Bentley,WOL,GKP,4.0,Available,180,6,0,3.0,0.4
Bolla,WOL,DEF,4.0,Available,0,0,0,0.0,0.5
Bueno,WOL,DEF,4.5,Available,1307,41,3,2.0,0.2
Chiquinho,WOL,MID,4.5,Available,0,0,0,0.0,0.3
Cundle,WOL,MID,4.5,Available,0,0,0,0.0,0.1
Dawson,WOL,DEF,4.5,Available,2134,75,7,3.0,0.3
Fábio Silva,WOL,FWD,5.5,Available,0,0,0,0.0,0.1
Giles,WOL,DEF,4.5,Available,0,0,0,0.0,0.2
Guedes,WOL,MID,5.5,Available,703,29,1,2.2,0.1
Hodge,WOL,MID,4.5,Available,172,5,0,0.8,0.1
Hoever,WOL,DEF,4.0,Available,0,0,0,0.0,1.0
Hee Chan,WOL,MID,5.5,Available,1117,60,3,2.2,0.2
Raúl,WOL,FWD,5.5,Available,839,29,0,1.9,0.4
João Gomes,WOL,MID,5.0,Available,649,21,2,1.9,0.1
J.Otto,WOL,DEF,4.5,Available,1257,45,0,2.5,0.1
Jordão,WOL,MID,4.5,Available,0,0,0,0.0,0.2
Kalajdžić,WOL,FWD,5.0,Available,45,1,0,1.0,0.2
Kilman,WOL,DEF,4.5,Available,3307,109,12,2.9,1.1
King,WOL,GKP,4.0,Available,0,0,0,0.0,0.3
Lemina,WOL,MID,5.0,Available,1297,35,0,1.8,0.0
Matheus N.,WOL,MID,5.0,Available,2467,80,5,2.4,0.3
Neto,WOL,MID,5.5,Available,962,37,0,2.1,0.2
Podence,WOL,MID,5.5,Available,1760,92,10,2.9,0.2
José Sá,WOL,GKP,5.0,Available,3240,148,18,4.1,1.6
Sarabia,WOL,MID,5.0,Available,764,27,3,2.1,0.1
Šarkić,WOL,GKP,4.0,Available,0,0,0,0.0,2.4
N.Semedo,WOL,DEF,4.5,Available,2633,75,5,2.1,0.3
Toti,WOL,DEF,4.5,Available,978,43,4,2.5,0.2
Boubacar Traore,WOL,MID,4.5,Available,405,14,0,1.4,0.6
